Titre;Année;Justwatch;Note Austr;Note CMS;Note FA;Reco FENET;Série;Tags;Resume;note_globale;note_violence;note_sexe;note_complexite;note_language;note_drogue;age_interdit;age_recommandé;duration;scenariste;cover_url;trailer_url;realisateur;scenariste2;distributeur
Ace Ventura en Afrique;1995;;PG;-;12;;Ace ventura;Comédie;;;;;;;;;;;;;;;;
Ace Ventura, détective pour chiens et chats;1994;;M;14;10;;Ace ventura;Comédie;;;;;;;;;;;;;;;;
Annie;1982;https://www.justwatch.com/fr/film/annie;G;6;7;;;Comédie, Drame, Musical;;;;;;;;;;;;;;;;
Astérix et Obélix : Mission Cléopâtre;2002;;;;;;Astérix et Obélix;Comédie;;;;;;;;;;;;;;;;
Babe, le cochon devenu berger;1995;https://www.justwatch.com/fr/film/babe-le-cochon-devenu-berger;G;6;7;;Babe;Comédie|Drame;;;;;;;;;;;;;;;;
Babe, le cochon dans la ville;1998;https://www.justwatch.com/fr/film/babe-pig-in-the-city-1998;G;8;10;;Babe;Comédie|Drame;;;;;;;;;;;;;;;;
Beethoven;1992;https://www.justwatch.com/fr/film/beethoven;G;8;7;;Beethoven;Comédie|Drame;;;;;;;;;;;;;;;;
Beethoven 2;1993;https://www.justwatch.com/fr/film/beethovens-2nd;G;10;7;;Beethoven;Comédie|Drame;;;;;;;;;;;;;;;;
Beetlejuice;1988;;M;13;12;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Benji la malice;1987;https://www.justwatch.com/fr/film/benji-la-malice;G;6;7;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Dr. Dolittle;1998;;PG;9;7;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Denis la Malice;1993;;PG;8;7;;;Comédie;;;;;;;;;;;;;;;;
E.T. l’extra-terrestre;1982;;PG;7;10;;;Action|Science-fiction;;;;;;;;;;;;;;;;
Edward aux mains d’argent;1990;;PG;13;10;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Casper;1995;;PG;8;7;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Chérie, j’ai rétréci les gosses;1989;;PG;6;7;;Chéri j'ai ...;Comédie;;;;;;;;;;;;;;;;
Chérie, j’ai agrandi le bébé;1992;https://www.justwatch.com/fr/film/cherie-jai-agrandi-le-bebe;G;6;7;;Chéri j'ai ...;Comédie;;;;;;;;;;;;;;;;
Chérie, nous avons été rétrécis;1997;;PG;6;7;;Chéri j'ai ...;Comédie;;;;;;;;;;;;;;;;
Gremlins 2;1990;;PG;13;12;;Gremlins;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Gremlins;1984;;PG;12;14;;Gremlins;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Indiana Jones et le Temple maudit;1984;;M;12;14;;Indiana Jones;Action|Aventure;;;;;;;;;;;;;;;;
Hook ou la Revanche du capitaine Crochet;1991;;PG;10;7;;;Action|Comédie|Fantastique;;;;;;;;;;;;;;;;
Indiana Jones et la Dernière Croisade;1989;;PG;11;12;;Indiana Jones;Action;;;;;;;;;;;;;;;;
Inspecteur Gadget;1999;;PG;10;10;;;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Jurassic Park;1993;;M;12;12;;Jurassic Park;Action|Science-fiction|Thriller;;;;;;;;;;;;;;;;
Jumanji;1995;;PG;10;10;;Jumanji;Action|Comédie|Science-fiction;;;;;;;;;;;;;;;;
L’Histoire sans fin 2 : un nouveau chapitre;1990;https://www.justwatch.com/fr/film/lhistoire-sans-fin-2;G;8;7;;L'histoire sans fin;Action|Drame;;;;;;;;;;;;;;;;
